MatchId,MatchName,LeagueName,SeasonName,StartDateTime,battingFirstName,battingFirstId,bowlingFirstName,bowlingFirstId,battingFirstScoreRuns,battingFirstScoreWickets,battingFirstScoreOvers,battingFirstScoreBalls,bowlingFirstScoreRuns,bowlingFirstScoreWickets,bowlingFirstScoreOvers,bowlingFirstScoreBalls,league_id,season_id
305514,Round 7,JJ Holland Midweek,2021 Summer,2021-02-25T06:47:33Z,The Nutty Cuckoo Super Kings,18132,The Hunts,9013,165,5,20,0,169,2,16,1,1398,114
306943,NA,JJ Holland / Ross Straw Midweek Minor Championship,2021 Summer,2021-03-01T06:28:01Z,Prahraners,10480,Workers Club Lions,16726,218,4,20,0,135,7,20,0,1398,114
306942,NA,JJ Holland / Ross Straw Midweek Minor Championship,2021 Summer,2021-03-01T06:35:54Z,St Peter's Cricket Club,18295,The Nutty Cuckoo Super Kings,18132,163,5,20,0,106,4,20,0,1398,114
307423,NA,JJ Holland / Ross Straw Midweek Minor Championship,2021 Summer,2021-03-11T06:23:27Z,Workers Club Lions,16726,The Nutty Cuckoo Super Kings,18132,145,8,19,3,148,0,13,3,1398,114
306944,GRAND FINAL,JJ Holland / Ross Straw Midweek Minor Championship,2021 Summer,2021-03-11T06:32:05Z,Prahraners,10480,St Peter's Cricket Club,18295,151,9,17,1,120,7,20,0,1398,114
316021,Round 1,Newport Autumn Sundays,2021 Autumn,2021-04-10T23:46:33Z,Mustangs,20237,Melbourne Dolphins,19542,184,3,20,0,76,8,12,4,3476,117
316022,Round 1,Newport Autumn Sundays,2021 Autumn,2021-04-11T02:00:02Z,The Nutty Cuckoo Super Kings,18132,V8s,20205,109,8,17,0,110,2,15,2,3476,117
316024,Round 2,Newport Autumn Sundays,2021 Autumn,2021-04-14T09:07:14Z,V8s,20205,Newport Nellies,20301,171,7,20,0,127,5,20,0,3476,117
316025,Round 2,Newport Autumn Sundays,2021 Autumn,2021-04-18T01:42:51Z,Mustangs,20237,FUCCC Blue,20239,175,7,20,0,112,8,16,1,3476,117
316026,Round 2,Newport Autumn Sundays,2021 Autumn,2021-04-18T04:03:49Z,Melbourne Dolphins,19542,The Nutty Cuckoo Super Kings,18132,151,5,20,0,124,4,20,0,3476,117
316027,Round 3,Newport Autumn Sundays,2021 Autumn,2021-05-01T23:26:46Z,Melbourne Dolphins,19542,FUCCC Blue,20239,179,3,20,0,178,6,20,0,3476,117
316028,Round 3,Newport Autumn Sundays,2021 Autumn,2021-05-02T02:06:05Z,The Nutty Cuckoo Super Kings,18132,Newport Nellies,20301,139,6,20,0,141,7,17,1,3476,117
316029,Round 3,Newport Autumn Sundays,2021 Autumn,2021-05-02T04:10:19Z,V8s,20205,Mustangs,20237,94,8,16,4,69,8,12,0,3476,117
316031,Round 4,Newport Autumn Sundays,2021 Autumn,2021-05-08T23:36:29Z,Newport Nellies,20301,Melbourne Dolphins,19542,150,5,20,0,151,2,15,3,3476,117
316030,Round 4,Newport Autumn Sundays,2021 Autumn,2021-05-09T01:55:27Z,Mustangs,20237,The Nutty Cuckoo Super Kings,18132,150,4,20,0,128,8,16,1,3476,117
316034,Round 5,Newport Autumn Sundays,2021 Autumn,2021-05-15T23:39:07Z,V8s,20205,Melbourne Dolphins,19542,122,4,20,0,126,5,19,4,3476,117
316033,Round 5,Newport Autumn Sundays,2021 Autumn,2021-05-16T01:51:58Z,The Nutty Cuckoo Super Kings,18132,FUCCC Blue,20239,124,6,20,0,127,4,16,2,3476,117
316035,Round 5,Newport Autumn Sundays,2021 Autumn,2021-05-16T04:15:26Z,Mustangs,20237,Newport Nellies,20301,97,8,15,4,98,1,12,4,3476,117
316037,Round 6,Newport Autumn Sundays,2021 Autumn,2021-05-22T23:37:41Z,Melbourne Dolphins,19542,Mustangs,20237,199,3,20,0,191,4,20,0,3476,117
316036,Round 6,Newport Autumn Sundays,2021 Autumn,2021-05-23T02:07:20Z,The Nutty Cuckoo Super Kings,18132,V8s,20205,134,5,20,0,136,0,14,0,3476,117
316038,Round 6,Newport Autumn Sundays,2021 Autumn,2021-05-23T04:16:35Z,Newport Nellies,20301,FUCCC Blue,20239,186,2,20,0,111,6,20,0,3476,117
316048,Round 10,Newport Autumn Sundays,2021 Autumn,2021-06-19T23:31:16Z,V8s,20205,Melbourne Dolphins,19542,136,6,20,0,126,6,20,0,3476,117
316047,Round 10,Newport Autumn Sundays,2021 Autumn,2021-06-20T02:05:28Z,Newport Nellies,20301,Mustangs,20237,147,5,20,0,120,8,16,4,3476,117
316049,Round 10,Newport Autumn Sundays,2021 Autumn,2021-06-20T04:17:21Z,FUCCC Blue,20239,The Nutty Cuckoo Super Kings,18132,106,7,19,0,69,8,11,3,3476,117
316055,Round 7,Newport Autumn Sundays,2021 Autumn,2021-06-26T23:38:03Z,The Nutty Cuckoo Super Kings,18132,Melbourne Dolphins,19542,174,2,20,0,177,6,19,3,3476,117
316039,Round 7,Newport Autumn Sundays,2021 Autumn,2021-06-27T01:55:09Z,V8s,20205,Newport Nellies,20301,154,2,20,0,131,7,20,0,3476,117
316032,Round 4,Newport Autumn Sundays,2021 Autumn,2021-07-03T23:35:40Z,V8s,20205,FUCCC Blue,20239,182,3,20,0,125,8,19,1,3476,117
316044,Round 9,Newport Autumn Sundays,2021 Autumn,2021-07-04T01:56:00Z,Newport Nellies,20301,Melbourne Dolphins,19542,163,5,20,0,166,6,19,0,3476,117
316046,Round 9,Newport Autumn Sundays,2021 Autumn,2021-07-04T04:12:22Z,The Nutty Cuckoo Super Kings,18132,Mustangs,20237,172,5,20,0,135,8,17,3,3476,117
316041,Round 8,Newport Autumn Sundays,2021 Autumn,2021-07-10T23:34:23Z,Newport Nellies,20301,The Nutty Cuckoo Super Kings,18132,175,7,18,3,153,7,20,0,3476,117
316042,Round 8,Newport Autumn Sundays,2021 Autumn,2021-07-11T01:58:33Z,Melbourne Dolphins,19542,FUCCC Blue,20239,187,6,20,0,139,5,20,0,3476,117
316043,Round 8,Newport Autumn Sundays,2021 Autumn,2021-07-11T04:10:58Z,Mustangs,20237,V8s,20205,158,4,20,0,159,1,19,1,3476,117
316045,Round 9,Newport Autumn Sundays,2021 Autumn,2021-08-01T01:54:34Z,V8s,20205,FUCCC Blue,20239,96,7,20,0,99,2,17,4,3476,117
316023,Round 1,Newport Autumn Sundays,2021 Autumn,2021-08-01T04:19:35Z,FUCCC Blue,20239,Newport Nellies,20301,170,2,20,0,171,2,20,0,3476,117
335300,Round 1,City Midweek Div 2,2021 Spring,2021-11-04T06:42:51Z,The Nutty Cuckoo Super Kings,18132,Four Fox Ache,16726,162,5,20,0,136,7,20,0,2856,115
335304,Round 2,City Midweek Div 2,2021 Spring,2021-11-08T06:36:03Z,The Nutty Cuckoo Super Kings,18132,Dusk Risers,19555,170,6,20,0,148,8,19,0,2856,115
335305,Round 2,City Midweek Div 2,2021 Spring,2021-11-08T06:48:03Z,Rhodesian Warthogs,19443,Four Fox Ache,16726,177,3,20,0,142,4,20,0,2856,115
335303,Round 2,City Midweek Div 2,2021 Spring,2021-11-08T06:48:47Z,We've got the Runs,18538,Viper heat,19394,160,4,20,0,113,7,20,0,2856,115
335307,Round 3,City Midweek Div 2,2021 Spring,2021-11-15T06:37:55Z,The Nutty Cuckoo Super Kings,18132,Rhodesian Warthogs,19443,144,7,20,0,136,4,20,0,2856,115
335306,Round 3,City Midweek Div 2,2021 Spring,2021-11-15T06:42:58Z,Loose At The Moose,18320,Dusk Risers,19555,170,3,20,0,112,4,20,0,2856,115
336818,Round 3,City Midweek Div 2,2021 Spring,2021-11-15T06:56:52Z,Brits Abroad,18363,Viper heat,19394,147,5,20,0,121,8,17,2,2856,115
335308,Round 3,City Midweek Div 2,2021 Spring,2021-11-17T06:41:58Z,We've got the Runs,18538,Four Fox Ache,16726,82,8,15,4,84,3,10,2,2856,115
335309,Round 4,City Midweek Div 2,2021 Spring,2021-11-22T06:46:42Z,Dusk Risers,19555,Rhodesian Warthogs,19443,83,8,14,2,88,2,9,0,2856,115
336819,Round 4,City Midweek Div 2,2021 Spring,2021-11-22T06:49:45Z,Four Fox Ache,16726,Brits Abroad,18363,140,5,20,0,143,2,17,1,2856,115
316050,Semi Final 1,Newport Autumn Sundays,2021 Autumn,2021-11-22T06:54:24Z,FUCCC Blue,20239,V8s,20205,96,8,15,4,98,2,14,1,3476,117
335310,Round 4,City Midweek Div 2,2021 Spring,2021-11-22T06:55:42Z,Loose At The Moose,18320,Viper heat,19394,148,4,20,0,154,1,15,3,2856,115
335314,Round 5,City Midweek Div 2,2021 Spring,2021-11-23T02:55:10Z,Loose At The Moose,18320,Four Fox Ache,16726,187,2,20,0,154,4,20,0,2856,115
335321,Semi Final 1,City Midweek Div 2,2021 Spring,2021-11-23T02:59:37Z,Brits Abroad,18363,Loose At The Moose,18320,195,2,20,0,175,4,20,0,2856,115
335323,Final,City Midweek Div 2,2021 Spring,2021-11-23T03:01:40Z,Brits Abroad,18363,The Nutty Cuckoo Super Kings,18132,138,8,17,3,139,0,12,2,2856,115
336825,NA,City Midweek Div 2,2021 Spring,2021-11-23T03:03:32Z,Loose At The Moose,18320,Rhodesian Warthogs,19443,156,7,18,4,157,2,16,4,2856,115
335311,Round 4,City Midweek Div 2,2021 Spring,2021-11-24T06:43:43Z,We've got the Runs,18538,The Nutty Cuckoo Super Kings,18132,142,6,20,0,145,5,17,3,2856,115
336820,Round 5,City Midweek Div 2,2021 Spring,2021-11-29T06:36:48Z,The Nutty Cuckoo Super Kings,18132,Brits Abroad,18363,136,8,16,4,140,2,11,3,2856,115
335313,Round 5,City Midweek Div 2,2021 Spring,2021-11-29T06:47:52Z,Viper heat,19394,Dusk Risers,19555,161,3,20,0,169,2,20,0,2856,115
336824,NA,City Midweek Div 2,2021 Spring,2021-12-06T06:34:35Z,Four Fox Ache,16726,Dusk Risers,19555,166,3,20,0,134,6,20,0,2856,115
316053,Final,Newport Autumn Sundays,2021 Autumn,2021-12-06T06:46:21Z,V8s,20205,Melbourne Dolphins,19542,160,2,20,0,161,6,18,2,3476,117
336823,NA,City Midweek Div 2,2021 Spring,2021-12-06T06:53:47Z,Viper heat,19394,The Nutty Cuckoo Super Kings,18132,139,6,18,0,143,1,16,2,2856,115
336822,NA,City Midweek Div 2,2021 Spring,2021-12-06T08:39:31Z,Brits Abroad,18363,We've got the Runs,18538,212,5,20,0,154,4,20,0,2856,115
335322,Semi Final 2,City Midweek Div 2,2021 Spring,2021-12-13T06:38:52Z,Rhodesian Warthogs,19443,The Nutty Cuckoo Super Kings,18132,185,7,20,0,186,3,18,3,2856,115
339742,Round 1,City Midweek Div 1,2022 Summer,2022-01-13T06:48:29Z,Major Paine,18659,The Nutty Cuckoo Super Kings,18132,135,5,20,0,136,2,18,1,1981,118
339746,Round 2,City Midweek Div 1,2022 Summer,2022-01-17T06:43:37Z,Melbourne Arrack,12941,Melbourne Dolphins,19542,165,7,20,0,153,8,15,1,1981,118
339747,Round 3,City Midweek Div 1,2022 Summer,2022-01-17T08:23:06Z,Melbourne Dolphins,19542,Brits Abroad,18363,152,6,20,0,120,8,14,4,1981,118
339745,Round 2,City Midweek Div 1,2022 Summer,2022-01-19T06:39:17Z,Brits Abroad,18363,The Nutty Cuckoo Super Kings,18132,168,8,20,0,155,4,20,0,1981,118
339744,Round 2,City Midweek Div 1,2022 Summer,2022-01-20T06:38:07Z,Major Paine,18659,Warthogs CC,19443,181,4,20,0,147,6,20,0,1981,118
339743,Round 1,City Midweek Div 1,2022 Summer,2022-01-24T06:41:38Z,Melbourne Dolphins,19542,Warthogs CC,19443,194,5,20,0,154,4,20,0,1981,118
339749,Round 3,City Midweek Div 1,2022 Summer,2022-02-02T06:44:06Z,Melbourne Arrack,12941,Major Paine,18659,150,6,20,0,156,4,17,3,1981,118
339748,Round 3,City Midweek Div 1,2022 Summer,2022-02-03T06:38:29Z,Warthogs CC,19443,The Nutty Cuckoo Super Kings,18132,196,4,20,0,182,4,20,0,1981,118
339752,Round 4,City Midweek Div 1,2022 Summer,2022-02-07T06:48:14Z,Major Paine,18659,Melbourne Dolphins,19542,166,4,20,0,97,8,16,4,1981,118
339751,Round 4,City Midweek Div 1,2022 Summer,2022-02-09T06:44:03Z,Brits Abroad,18363,Warthogs CC,19443,148,4,20,0,113,8,18,4,1981,118
339750,Round 4,City Midweek Div 1,2022 Summer,2022-02-10T06:45:04Z,The Nutty Cuckoo Super Kings,18132,Melbourne Arrack,12941,129,4,20,0,130,1,13,3,1981,118
339755,Round 5,City Midweek Div 1,2022 Summer,2022-02-14T06:49:18Z,Melbourne Dolphins,19542,The Nutty Cuckoo Super Kings,18132,182,5,20,0,156,5,20,0,1981,118
339753,Round 5,City Midweek Div 1,2022 Summer,2022-02-16T06:43:59Z,Major Paine,18659,Brits Abroad,18363,153,7,20,0,154,6,19,1,1981,118
339754,Round 5,City Midweek Div 1,2022 Summer,2022-02-16T06:44:42Z,Warthogs CC,19443,Melbourne Arrack,12941,181,2,20,0,101,8,14,1,1981,118
339757,Round 6,City Midweek Div 1,2022 Summer,2022-02-21T06:40:59Z,Melbourne Arrack,12941,Brits Abroad,18363,147,3,20,0,138,5,20,0,1981,118
339758,Round 6,City Midweek Div 1,2022 Summer,2022-02-23T06:47:07Z,Melbourne Dolphins,19542,Warthogs CC,19443,169,5,20,0,165,5,20,0,1981,118
339756,Round 6,City Midweek Div 1,2022 Summer,2022-02-24T06:44:58Z,The Nutty Cuckoo Super Kings,18132,Major Paine,18659,107,8,18,3,109,3,13,1,1981,118
339761,Round 7,City Midweek Div 1,2022 Summer,2022-02-28T06:43:13Z,Melbourne Arrack,12941,Melbourne Dolphins,19542,143,3,20,0,144,3,10,3,1981,118
339760,Round 7,City Midweek Div 1,2022 Summer,2022-03-02T06:51:02Z,Brits Abroad,18363,The Nutty Cuckoo Super Kings,18132,183,5,20,0,77,8,14,3,1981,118
344008,5th vs 6th Play Off,City Midweek Div 1,2022 Summer,2022-03-07T06:34:49Z,Warthogs CC,19443,The Nutty Cuckoo Super Kings,18132,167,6,20,0,100,8,18,2,1981,118
339772,Semi Final 2,City Midweek Div 1,2022 Summer,2022-03-09T06:23:28Z,Brits Abroad,18363,Major Paine,18659,170,5,20,0,160,2,20,0,1981,118
339771,Semi Final 1,City Midweek Div 1,2022 Summer,2022-03-09T06:31:49Z,Melbourne Arrack,12941,Melbourne Dolphins,19542,150,2,20,0,152,3,18,0,1981,118
370556,NA,City Thursdays,2022 Spring,2022-10-20T06:36:17Z,The Hunts,9013,Major Paine,18659,191,3,20,0,125,4,20,0,1398,119
370555,NA,City Thursdays,2022 Spring,2022-10-20T06:45:05Z,Kangaroos Strikers,22382,The Nutty Cuckoo Super Kings,18132,174,2,20,0,175,6,20,0,1398,119
370560,,City Thursdays,2022 Spring,2022-11-03T06:42:16Z,Major Paine,18659,Darkside,18398,184,3,20,0,177,5,20,0,1398,119
370562,,City Thursdays,2022 Spring,2022-11-03T06:44:17Z,Warthogs CC,19443,The Nutty Cuckoo Super Kings,18132,205,2,20,0,62,8,12,0,1398,119
370561,,City Thursdays,2022 Spring,2022-11-03T06:45:18Z,The Hunts,9013,Kangaroos Strikers,22382,166,7,20,0,169,3,18,0,1398,119
